;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTC91355;Ò²ĞíÎÒ¿ÉÒÔÇóÓÚ [From.GetHerHis] Ì°À·µÄÒ»Ãæ...;Peut-être pourrai-je faire appel ?son côt?cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
ERA_CHAR_INFO_3040;°¢¶ûÆÕ °¢Ë¹À¼,ÈûÁğ¹ÅµÄÔøËï, ³öÉúÊ±½ĞÄÂº±ÄÂµÂ ±¾ ´ïÎÚ ²ìºÏÀï. µ«ËûÒòËûµÄÇ¿´ó,ÓÅĞãµÄ×÷Õ½¼¼ÇÉºÍÓÂÆø¶øµÃÃû, ÒâÎª"ÓÂ¸ÒµÄÊ¨×Ó". ÔçÄê,Ëû¼Ì³ĞÁË¸¸Ç×³ÉÎªºôÂŞÉºµÄÍ³Áì. ÔÚ1064Äê¼Ì³ĞÎ£»úÊ±ËûÍ¨¹ıÎäÁ¦È¡µÃÁËËÕµ¤µÄÃûºÅ, ºóÀ´Í³ÖÎÁË¹ãÙóµÄÈûÁğ¹ÅµÛ¹ú. Ëû¶Ô°İÕ¼Í¥µÛ¹ú·¢ÆğÕ½Õù²¢ÔÚÂüÆë¿Ì¶ûÌØÕ½ÒÛÀï³¹µ×»÷°ÜÁËËûÃÇ, ²¶»ñÁË°İÕ¼Í¥»ÊµÛ. Õâ³¡Ê¤ÀûÆÌµæÁËÈÕºóÍ»ØÊÈËÔÚ°²ÄÉÍĞÀûÑÇµÄáÈÆğ, Ò²ÊÇ´¥·¢Ê®×Ö¾ü¶«Õ÷µÄÔ­ÒòÖ®Ò». ËûËÀÒ²Î´ÈèÆäÃû, ÔÚ42ËêÊ±, ¾Ü¾øÊØÎÀµÄ°ïÖú¶Ô¸¶Ò»ÃûÅÑ¾üÇô·¸Ê±ËÀÔÚÁË.;Alp Arslan, arrière-petit-ils de Seldjouk, naquit sous le nom de Muhammad bin Da'ud Chaghri, mais sa force, son talent au combat et sa valeur lui donnèrent rapidement ce titre honorifique qui signifie 'Lion héroïque'. Très tôt, il succéda ?son père en tant que gouverneur de Khorasan. Après la crise de succession de 1064, il s'empara du titre de sultan par les armes et devint le souverain de l'immense Empire seldjouk. Il mena ensuite la guerre ?l'Empire byzantin et les battit ?plates coutures ?la célèbre bataille de Manzikert, lors de laquelle il captura l'empereur. Cette victoire était la première étape de la domination turque en Anatolie et constitua l'un des principaux déclencheurs des croisades. Il mourut fidèle ?sa réputation, ?l'âge de 42 ans, en refusant que ses gardes viennent l'aider ?combattre un prisonnier rebelle qui l'attaquait ?avec une dague.;Alp Arslan, der Urenkel von Seldschuk, wurde als Muhammad bin Dawud Chaghri geboren, doch aufgrund seiner Stärke, seiner Fähigkeiten im Zweikampf und seines Mutes wurde er schon bald unter dem Ehrennamen 'Heldenhafter Löwe' bekannt. Anfangs folgte er seinem Vater als Gouverneur von Khorasan, doch nach einer Erbfolgekrise im Jahre 1064 übernahm er mit Waffengewalt den Titel des Sultans und wurde fortan zum Herrscher über das riesige Seldschukenreich. Anschließend führte er Krieg gegen Byzanz, das er in der berühmten Schlacht von Manzikert besiegte, wobei er den Kaiser gefangen nehmen konnte. Dieser Sieg war ein erster Schritt zur türkischen Vorherrschaft in Anatolien und gleichzeitig einer der Auslöser für die Kreuzzüge. Sein Tod ereilte ihn, ganz im Sinne seines Namens, im Alter von 42, als ein gefangener Aufständischer ihn mit einem Dolch angriff und er die Hilfe seiner Wache ausschlug.;;Alp Arslan, bisnieto Selyúcida y nacido con el nombre de Muhammad bin Dawud Chaghri, pronto se gan?este honorable nombre que significa "León Heroico" por su fuerza, sus habilidades de combate y su valor. En etapas tempranas, sucedi?a su padre como gobernador de Jorasán, y después de una crisis de sucesión en 1064, se hizo con el título de Sultán por la fuerza y se convirti?en el gobernante del inmenso Imperio Selyúcida. Luego entr?en guerra con el Imperio Bizantino y lo derrot?por completo en la batalla de Malazgirt y haciendo prisionero al Emperador. Su victoria fue un primer paso hacia el dominio turco en Anatolia y fue uno de los principales desencadenantes de las cruzadas. Muri?fiel a su nombre, a la edad de 42 años, rechazando la ayuda de sus guardas contra un prisionero rebelde que se dirigi?a él con un puñal.;;;;;;;;;x
;#ERA_CHAR_INFO_74441;Somesvara I of Chalukyas;;Somesvara I. von den Chalukya;;Somesvara I de Chalukyas;;;;;;;;;x;
ERA_CHAR_INFO_457620;×÷Îª¿¨Ë¹Ìá¶ûºÍÁĞ°ºµÄ¹úÍõ, ·ÑµÂÄÏÊÇÔÙÕ÷·şÔË¶¯ÖĞ×îÖØÒªµÄÒ»¸öÈËÎï,×îÖÕ½«ÄÂË¹ÁÖ´ÓÒÁ±ÈÀûÑÇ¸ÏÁË³öÈ¥. ¿¨Ë¹Ìá¶ûÔÚ·ÑµÂÄÏµÄÍ³ÖÎÏÂÊÕÄÉÁË´óÆ¬ÄÏÎ÷°àÑÀµÄÁìÍÁ, ²»½öÍ¨¹ıÎäÁ¦,»¹Ê¹ÓÃÍâ½»ÊÖ¶ÎÕ÷·şÁË°²´ïÂ¬Î÷ÑÇÈËµÄ³ÇÊĞ,ÀıÈç¿Æ¶û¶à°ÍºÍÈûÎ¬ÀûÑÇ. ËûËÀºóËÄ°ÙÄê, ·ÑµÏÄÏ±»½Ì×Ú¿ËÀ³Ã¢Ê®ÊÀ¿±¶¨ÎªÊ¥ÈË, ÄÉÈëÊ·²á.;Roi de Castille et du León, Ferdinand fut une figure centrale de l'histoire de la Reconquista qui allait voir les musulmans quitter la péninsule ibérique. Sous Ferdinand, la Castille gagna des territoires au sud grâce ?un mélange de force et de diplomatie, capturant les villes andalouses de Cordoue et Séville. Plus de quatre siècles après sa mort, Ferdinand fut canonis?par le pape Clément X et l'histoire retint le nom de Ferdinand le Saint.;Als König von Kastilien und Leon war Ferdinand eine der wichtigsten Figuren in der Geschichte der Reconquista. Unter seiner Herrschaft wurden die Muslime aus Iberien vertrieben. Unter Ferdinand dehnte sich Kastilien weit ins südliche Spanien aus. Durch eine Mischung aus Zwang und Diplomatie konnten andalusische Städte wie Córdoba und Sevilla erobert werden. Mehr als 400 Jahre nach seinem Tod wurde Ferdinand von Papst Clemens X. heiliggesprochen und ging unter dem Beinamen 'der Heilige' in die Geschichte ein.;;Como rey de Castilla y León, Fernando fue una de las figuras más decisivas de la historia de la Reconquista que finalmente vería a los musulmanes irse de Iberia. Bajo el reinado de Fernando, Castilla se expandi?hacia el Sur de España gracias a una combinación de fuerza y diplomacia para tomar ciudades andaluzas como Córdoba y Sevilla. Más de cuatrocientos años después de su muerte, Fernando fue canonizado por el Papa Clemente X y en los anales de historia pas?a ser conocido Fernando el Santo.;;;;;;;;;x
ERA_CHAR_INFO_167219;ººÈøÁªÃËÊÇÓÉÒ»ÈºÓÉÂÀ±´¿ËÖ÷µ¼ÈÕ¶úÂü³ÇÊĞËù×é³É,È¡´úÎ¬Ë¹±È³ÉÎªÔÚÖĞÊÀ¼ÍÒÔ¼°ºóÀ´Ê±´úÖ÷µ¼²¨ÂŞµÄº£Ã³Ò×µÄÉÌÒµÁ¦Á¿.ËûÃÇµÄ°ìÊÂ´¦,"¿×ÍĞ", ±é²¼Ö÷ÒªµÄÃ³Ò×¸Û¿ÚºÍ³ÇÊĞ, Î÷ÖÁÂ×¶Ø,¶«ÖÁÅµ·ò¸çÂŞµÂ. ×îÖÕÁªÃËÇ¿´óµ½ÁËÄÜÖ±½ÓÌôÕ½´ó¹ú, Ò»¸öÀı×Ó±ãÊÇÔÚ14ÊÀ¼Í,ËûÃÇÕ¼ÁìºÍÏ´½ÙÁËµ¤ÂóÊ×¶¼¸ç±¾¹ş¸ù.;La Ligue hanséatique était une association de cités germaniques avec pour centre Lübeck, qui dominait le commerce en mer Baltique ?compter de la fin du Moyen Âge, après avoir supplant?Visby en tant que principale puissance marchande de la région. Des comptoirs, les 'kontors', furent ouvert dans les principaux ports et nœuds commerciaux depuis Londres ?l'ouest jusqu'?Novgorod ?l'est. La Ligue hanséatique devint assez puissante pour défier directement de puissants royaumes. Par exemple, elle pilla la capitale danoise de Copenhague pendant la seconde moiti?du XIVe siècle.;Die Hanse war ein lockeres Bündnis deutscher Städte, unter denen Lübeck eine zentrale Bedeutung zufiel. Ab dem späten Mittelalter löste die Hanse Visby als die stärkste Handelsmacht der Region ab und dominierte den Ostseehandel. An vielen wichtigen Häfen und Umschlagplätzen entstanden Handelsniederlassungen, sogenannte 'Kontore', die sich von London im Westen bis hin zu Nowgorod im Osten erstreckten. Im Laufe der Zeit wurde der Städtebund so mächtig, dass er auch Konflikten mit größeren Reichen nicht mehr auswich, beispielsweise plünderte er in der zweiten Hälfte des 14. Jahrhunderts die dänische Hauptstadt Kopenhagen.;;La Liga Hanseática fue una alianza flexible de ciudades alemanas, giraba entorno de Lübeck, que domin?el comercio báltico en la crisis de la Edad Media y durante aún más tiempo después de desplazar Visby como potencia comercial líder en la región. Las oficinas, también llamadas "kontors", estaban abiertas en los principales puertos y nodos comerciales de todas partes, desde Londres en el oeste hasta Nóvgorod en el este. Finalmente la Liga se hizo lo suficientemente poderosa como para desafiar directamente reinos mayores, como cuando saquearon la capital danesa de Copenhague en la segunda mitad del siglo XIV.;;;;;;;;;x
ERA_CHAR_INFO_212513;±»Í¬Ê±´úµÄÈË³ÉÎªÊÀ¼äÆæ¼£, ¸¥ÀïµÂÀïÏ£¶şÊÀÊÇÉñÊ¥ÂŞÂíµÛ¹úÔÚÖĞÊÀ¼Í×îÇ¿´óµÄ»ÊµÛÖ®Ò». ËûµÄÍ³ÖÎ³£³£°éËæ×ÅÓë½ÌÍ¢µÄÕ½Õù. ¸¥ÀïµÂÀïÏ£±»¾ø·£¹ıËÄ´Î, ½Ì×Ú¶îÎÒÂÔ¾ÅÊÀÉõÖÁÖ¸ÈÏËûÎªµĞ»ù¶½. ËûÔÚµÚÁù´ÎÊ®×Ö¾üÔË¶¯ÖĞ²ÎÓëÁËÉÙĞíÕ½¶·,µ«³É¹¦µÄÉÌ¶¨ÁËÈÃ»ù¶½Í½¿ØÖÆÒ®Â·ÈöÀä. 1250Äê,50ËêµÄËûµÄËÀ°éËæ×ÅÍ¬×åµÄÏûÍö,×îÖÕÎª»ôºàË¹ÌÕ·ÒÍõ³¯»­ÉÏÁË¾äºÅ.;Désign?par ses contemporains par l'expression de stupor mundi, la 'merveille du monde', Frédéric II était un des plus puissants et des plus influents empereurs du Saint-Empire romain germanique au Moyen Âge. Son règne fut marqu?par de fréquentes guerres contre la papaut?et Frédéric fut excommuni?quatre fois. Le pape Grégoire IX le surnomma même l'Antéchrist. Il parvint ?négocier le passage de Jérusalem sous contrôle chrétien pendant la sixième croisade avec un minimum de combats. Après sa mort de dysenterie en 1250, ?l'âge de 55 ans, sa lignée s'éteignit rapidement et ce fut la fin de la maison Hohenstaufen.;Von Zeitgenossen als stupor mundi, 'Staunen der Welt', betitelt, war Friedrich II. einer der mächtigsten und einflussreichsten Kaiser des mittelalterlichen Heiligen Römischen Reiches. Seine Regierungszeit war gekennzeichnet durch häufige Kriege gegen den Papst: Insgesamt viermal wurde er exkommuniziert, von Papst Gregor IX. wurde er als Antichrist bezeichnet. Während des Sechsten Kreuzzugs gelang es ihm, ohne an Kämpfen nennenswert beteiligt gewesen zu sein,  über Verhandlungen die Rückgabe Jerusalems an die Christen durchzusetzen. Kurz nachdem er 1250 im Alter von 55 Jahren an der Ruhr gestorben war, endete auch seine Linie. Die Herrschaft der Hohenstaufer war beendet.;;Conocido por sus coetáneos como stupor mundi, la "maravilla del mundo", Federico II fue uno de los más poderosos e influyentes emperadores del Sacro Imperio Romano durante la Edad Media. Su reino fue marcado por frecuentes guerras contra el Pontificado, y Federico fue excomulgado cuatro veces ?incluso el Papa Gregorio IX le apod?El Anticristo. Se las arregl?para negociar el regreso de Jerusalén a manos cristianas durante la Sexta Cruzada a pesar de casi no intervenir en la lucha. Después de morir de disentería en 1250 a la edad de 55 años, su línea se extinguiría rápidamente, lo que supuso el fin de la Casa de Hohenstaufen.;;;;;;;;;x
ERA_CHAR_INFO_74656;É®Ù¤ÄÇ¶şÊÀ×÷ÎªÒ»¸öÇ¿´óµÄÓ¡¶È¾ıÖ÷£¬°ÑËûµÄ¹ú¶ÈÏò¶«±±ÄÏ´ó·ùµÄÀ©ÕÅ¡£×÷Îª¿ÆÑ§ºÍÒÕÊõµÄÓµ»¤Õß£¬ËûÔÚÉ®êù²¹ÂŞ½¨Á¢ÁËÌìÎÄÑ§Ôº¡£;Singhana II était un puissant souverain indien qui étendit grandement son royaume vers le nord, le sud et l'est. Grand mécène des sciences et des arts, il fonda un collège d'astronomie ainsi que la cit?de Singhanapur.;Singhana II. war ein mächtiger indischer Herrscher, der sein Reich beträchtlich nach Norden, Süden und Osten ausdehnte. Als großer Patron der Wissenschaft und der Künste förderte er die Astronomie und gründete die Stadt Singhanapur.;;Singhana II fue un poderoso gobernante indio que expandi?enormemente su reino hacia el norte, el sur y el este. Como gran mecenas de la ciencia y las artes, estableci?una universidad de astronomía y cre?la ciudad de Singapur.;;;;;;;;;x
ERA_CHAR_INFO_454500;°®µÂ»ªÈıÊÀ´ÓĞí¶à·½ÃæÀ´Ëµ¶¼ÊÇÒ»¸öÓÂÊ¿. 1327Äê, ÔÚËû¸¸Ç×µÄÍ³ÖÎ»ÙÃğĞÔµÄÖÕ½áºóËû½Ó¹ıÁËÍõ¹Ú. ÔÚ°®µÂ»ªµÄÍ³ÖÎÏÂ, Ó¢¸ñÀ¼õÒÉíÅ·ÖŞ¾üÊÂÇ¿¹úÖ®ÁĞ, ¶øËû¶Ô·¨¹úÍõÎ»µÄĞû³Æ,Ôò×îÖÕÒı·¢ÁËºóÊÀËù³ÆµÄ°ÙÄêÕ½Õù. ÔÚËûÎåÊ®Äê³¤¾ÃµÄÍ³ÖÎÏÂ, °®µÂ»ªÊ¼ÖÕ¹Ø×¢¾üÊÂ. ËûÖ¸»Ó¿ËÀ×Î÷»áÕ½, ÀûÓÃÖ÷ÒªÓÉ³¤¹­ÊÖ¹¹³ÉµÄÓ¢¹ú¾ü¶Ó»÷°ÜÁË¾üÁ¦Õ¼ÓÅµÄ·¨¹úÈË.;Édouard III était, selon bien des aspects, un roi combattant. Il fut couronn?après la fin du règne désastreux de son père en 1327. Sous son règne, l'Angleterre se transforma en l'une des plus grandes puissances militaires d'Europe et ses revendications sur le trône de France allaient faire le conflit connu par la suite sous le nom de guerre de Cent Ans. Pendant un règne qui allait durer cinquante ans, Édouard s'occupa principalement de questions militaires. Il commanda personnellement la bataille de Crécy lors de laquelle l'armée anglaise, principalement composée d'archers ?arc long, triompha d'une armée française bien plus nombreuse.;Eduard III. war in vielerlei Hinsicht ein Feldherrenkönig, der nach dem Ende der katastrophalen Regierungszeit seines Vater im Jahre 1327 gekrönt wurde. Unter Eduard wandelte sich England zu einer der mächtigsten Militärmächte Europas und sein Anspruch auf den französischen Thron war der Ausgangspunkt eines Konfliktes, der schließlich als der Hundertjährige Krieg bekannt werden sollte. Während seiner langen Regierungszeit, die 50 Jahre währte, konzentrierte sich Eduard vorwiegend auf militärische Angelegenheiten. Der entscheidenden Schlacht von Crécy, bei der eine englische, größtenteils aus Langbogenschützen bestehende Armee eine wesentlich größere französische Streitmacht besiegte, wohnte er persönlich bei.;;Eduardo III fue, en muchos sentidos, un rey guerrero que fue coronado después de que el desastroso reinado de su padre finalizara en 1327. Con Eduardo, Inglaterra se convirti?en uno de los poderes militares más imponente de Europa, y su reclamación del trono francés daría pie al conflicto que finalmente se conocería como la Guerra de los Cien Años. A lo largo de su largo reinado, que duraría cincuenta años, Eduardo se centr? principalmente, en las cuestiones militares. Supervis?personalmente la decisiva Batalla de Crécy, en la que un ejército inglés formado mayoritariamente por arqueros de largo alcance derrot?a un ejército francés mucho más numeroso.;;;;;;;;;x
ERA_CHAR_INFO_455500;ĞÒÔËµÄ·ÆÀûÆÕÊÇÀ´×ÔÍßÂ¬ÍßÍõ³¯µÄµÚÒ»¸ö·¨¹ú¹úÍõ. ÔÚËûµÄÍ³ÖÎÏÂ,·¨¹úÈË¼ûÖ¤ÁËºóÊÀËù³ÆµÄ°ÙÄêÕ½Õù. ¼´±ã±»½Ğ×öĞÒÔËµÄ·ÆÀûÆÕ, ÀúÊ·ÉÏµÄËû²¢Ã»ÓĞÊ²Ã´ºÃÔËÆø. ÔÚ¿ËÀ×Î÷»áÕ½Ê±, ·¨¹úµÄ¾ü¶Ó¼¸ºõÈ«Êı±»Ó¢¹úÈË¼ßÃğ. ÔÚËûÍ³ÖÎµÄÍíÆÚ, ºÚËÀ²¡µÚÒ»´Î³öÏÖÔÚÁË·¨¹ú. È«¹úÈı·ÖÖ®Ò»µÄÈË¿ÚÈ¾ÉÏÁËÕâÖÂÃüµÄÒß²¡, °üÀ¨·ÆÀûÆÕµÄÍõºóÇÇ°².;Philippe le Fortun?était le premier roi de France de la lignée des Valois. Sous son règne, la France allait connaître le début de la guerre de Cent Ans. Malgr?son surnom, la guerre ne se déroula pas bien pour lui et l'armée française fut virtuellement annihilée par les Anglais au cours de la bataille de Crécy. ?la fin de son règne, la Peste noire fit sa première apparition en France. Un tiers de ses sujets allait succomber ?cette épidémie, y compris l'épouse de Philippe, la reine Jeanne.;Philipp, genannt 'der Glückliche', war der erste französische König aus dem Hause Valois. In seine Regierungszeit sollte der Beginn des Hundertjährigen Krieges fallen. Trotz seines Beinamens verlief der Krieg für Philipp alles andere als günstig und die französische Armee wurde in der Schlacht von Crécy von den Engländern praktisch aufgerieben. Gegen Ende seiner Herrschaft kam es zu einer ersten Pestwelle auf französischem Gebiet. Nicht weniger als ein Drittel seiner Untertanen fiel der Epidemie zum Opfer, darunter auch seine Königin, Johanna.;;Felipe, conocido como "el afortunado", fue el primer rey francés de la Casa de Valois, y bajo su reinado Francia vería el inicio de la Guerra de los Cien Años. A pesar de su apodo, la guerra no fue bien y el ejército francés fue prácticamente aniquilado en manos de los ingleses en la Batalla de Crécyy. Al final de su reinado, la Peste Negra hizo su primera aparición en Francia. Un tercio de los súbditos de su reino sucumbieron a esta plaga ?incluida la propia esposa de Felipe, la reina Juana.;;;;;;;;;x
ERA_CHAR_INFO_476500;ÎÚ¶ûº¹, ×÷Îª°ÂË¹ÂüÍõ³¯µì»ùÕßµÄ°ÂË¹ÂüÒ»ÊÀÖ®×Ó, ÔÚ¸¸Ç×ËÀºó¼Ì³ĞÁË¸¸Òµ. Ëû×î³õÌá³öÓëÆäĞÖµÚ°¢À­¶¡¹²ÖÎ, µ«°¢À­¶¡¾Ü¾ø,×îÖÕ³ÉÎªÁËÎÚ¶ûº¹ÊÖÏÂµÄ´óÎ¬Ææ¶û, Ö±µ½1332Äê.ÔÚÎÚ¶ûº¹µÄÍ³ÖÎÏÂ, °ÂË¹Âü,³Ë°İÕ¼Í¥µÛ¹ú¿àÓÚÄÚÕ½Ê±ÔÚ°²ÄÉÍĞÀûÑÇÎ÷±±´ó·ùÀ©ÕÅ.;Fils d'Osmane Ier, fondateur de l'illustre dynastie ottomane ?laquelle il donna son nom, Orhan succéda ?son père ?la mort de ce dernier. Il proposa ?son frère Alaeddin de régner avec lui mais celui-ci refusa et préféra servir comme vizir très influent d'Orhan jusqu'?sa mort en 1332. Sous le règne d'Ohran, les Ottomans étendirent leur territoire en Anatolie aux dépens de l'Empire byzantin, alors en proie ?une série de guerres civiles.;Als Sohn Osmans I., des Gründers und Namenspatrons der illustren Dynastie der Osmanen, trat Orhan nach dem Tod seines Vaters sein Erbe an. Anfänglich bot er seinem Bruder Alaeddin eine Doppelherrschaft an, doch dieser lehnte ab und diente Orhan stattdessen als höchst einflussreicher Wesir bis zu seinem Tod im Jahre 1332. Unter Orhan expandierten die Osmanen auf Kosten des durch Bürgerkrieg geschwächten Byzanz weit ins nordwestliche Anatolien.;;Hijo de Osman I, el fundador y patrón de la ilustre dinastía Otomana, Orhan sucedi?a su padre cuando éste muri? En un inici?se ofreci?para gobernar junto a su hermano Alaeddin, pero este último rechaz?la propuesta y en su lugar sirvi?como visir muy influyente de Orhan hasta su muerte en 1332. Bajo el reinado de Orhan, los otomanos se expandieron en gran medida por el noroeste de Anatolia en detrimento del Imperio Bizantino, que se vio envuelto en una serie de guerras civiles.;;;;;;;;;x
ERA_CHAR_INFO_480000;ÄÂº±Ä¬µÂ ÔÂ¼´±ğÊÇ½ğÕÊº¹¹úÔÚÎ»Ê±¼ä×î³¤µÄ¿Éº¹£¬ÔÚËûµÄÖÎÀíÏÂÃÉ¹Å¸÷¹ú´ïµ½ÁËÈ¨ÀûµÄáÛ·å¡£ÔçÄêÔÂ¼´±ğğ§ÒÀÁËÒÁË¹À¼½Ì£¬ÔÚËû¼´Î»ºóËûÇÕµãÒÁË¹À¼½ÌÎª¹ú½Ì¡£ÔÂ¼´±ğ»¹ÓĞÈİÄÉ»ù¶½Í½µÄÃÀÃû£¬½Ì×ÚÈôÍûÊ®¶şÊÀÉõÖÁ¸øËûĞ´¹ıÇ×±ÊĞÅ±í´ï¸ĞĞ»¡£;Mohammed Öz Beg fut le khan qui régna le plus longtemps sur la Horde d'or. C'est sous son règne que l'État mongol connut sa plus grande puissance. Öz Beg fut converti ?l'islam très jeune et lorsqu'il monta sur le trône, l'islam devint la religion d'État. Malgr?cela, on sait qu'il était très tolérant envers les chrétiens. Le pape Jean XXII l'en remercia d'ailleurs personnellement dans une lettre.;Mohammed Usbek war der am längsten regierende Khan der Goldenen Horde, unter dem dieser Splitterstaat der Mongolen seine größte Machtausdehnung erfuhr. Usbek konvertierte als junger Mann zum Islam und machte seinen Glauben zur Staatsreligion, als er Khan wurde. Trotzdem zeigte er sich gegenüber den Christen außerordentlich tolerant, was durch einen Brief, in dem Papst Johannes XXII. ihm dafür seinen persönlichen Dank ausspricht, bezeugt wird.;;Mohammed Özbeg fue el khan de la Horda Dorada que cont?con un reinado más prolongado, y fue bajo lo que el estado escindido Mongol alcanz?el apogeo de su poder. Özbeg fue convertido al Islam a muy temprana edad, y en cuanto asumi?el trono lo adopt?como religión de estado. A pesar de ello, se le consideraba muy tolerante con los cristianos, algo que el Papa Juan XXII le agradeci?personalmente por carta.;;;;;;;;;x
ERA_CHAR_INFO_170258;ÄÂº±Ä¬µÂ¶øÊÇÊÇÍ¼¸ñÂ³¿Ë×å³¤, ËûÔÚÓ¡¶È½¨Á¢ÁËÒ»¸ö¹ã´óµÄÄÂË¹ÁÖµÛ¹ú. ÔÚËûµÄÍ³ÖÎÏÂ, µÛ¹úÆğ³õÕÆÎÕÁËÔÚÓ¡¶ÈµÄÁÙÊ±Í³ÖÎ, µ«±¾Òâ²¢·Ç³¤¾ÃÎ¬³ÖÏÂÈ¥. ÄÂº±Ä¬µÂÒÔÀä¿áÎŞÇé³öÃû, Ëû¶ÔµÛ¹ú¿ÎÒÔÖØË°. ÔË×÷µÛ¹úµÄÍ¬Ê±Ëû»¹ÃæÁÙÎŞÊıÆğÒåµÄÌôÕ½, µ±ËûËÀÊ±, µÛ¹ú¼¸½ü·Ö±ÀÀëÎö.;Mohammed II fut le chef de la dynastie Tughluq, qui avait créé un grand empire musulman en Inde. Sous son règne, l'empire s'agrandit pour contrôler temporairement la majeure partie de l'Inde, mais cela ne dura pas. Mohammed possédait une réputation bien méritée d'homme cruel et impitoyable et ses sujets croulaient sous les impôts. Il devait composer avec de nombreuses révoltes et ?sa mort, l'empire avait déj?commenc??se fragmenter.;Muhammad II. war das Oberhaupt der Tughluq-Dynastie, die in Indien ein großes islamisches Reich gründete. Ihm gelang es, die Kontrolle über einen Großteil Indiens zu übernehmen. Doch dies sollte nicht von Dauer sein. Muhammad erwarb sich einen wohlverdienten Ruf als rücksichtsloser und grausamer Herrscher, der die Steuern in seinem Reich auf exorbitante Höhen schraubte. Er musste viele Revolten niederschlagen und bereits zum Zeitpunkt seines Todes zeigte sein Reich Auflösungserscheinungen.;;Muhammad II fue el cabeza de la dinastía tughlúquida, que había creado un vasto imperio musulmán en la India. Con él, en un principio el imperio se expandi?y temporalmente control?la mayor parte de la India, pero no dur? Muhammad se había ganado la reputación de cruel y despiadado, y los impuestos, en su imperio, alcanzaron niveles exorbitantes. Tuvo que contener numerosas revueltas, y para cuando él falleci? el reino ya había empezado a fragmentarse.;;;;;;;;;x
