;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
;#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zur Zeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x;
CAN_ONLY_JOIN_X_FACTIONS;只能够加入 $NUM$? 派系!?;Vous ne pouvez rejoindre que $NUM$? Factions??;Ihr d黵ft nur $NUM$? Fraktionen beitreten!;;olo puedes unirte a $NUM$? Facciones!;;;;;;;;;x
EVTDESC60201;我的族人已经饥渴难耐, 等着实现我的伟大理想. 我要选一片膏腴之地为目标, 并召集部属开战!;Mes hommes sont agit閟 et mes ambitions ne doivent plus souffrir aucun d閘ai. Il me faut une cible juteuse, ensuite j'appellerai ma tribu au combat?;Meine M鋘ner sind ruhelos und meine Ambitionen d黵fen nicht l鋘ger warten. Ich muss ein saftiges Ziel ausw鋒len und meinen Stamm in den Krieg rufen!;;Mis hombres est醤 inquietos y mis ambiciones no pueden retrasarse m醩. e de elegir un objetivo jugoso y llamar a la tribu a la guerra!;;;;;;;;;x
EVTOPTA60201;木鹿最好!;Merv est le meilleur choix?;Merv lohnt sich!;;erv es lo mejor!;;;;;;;;;x
EVTOPTB60201;自然是呼罗珊;Khorasan, 鏰 tombe sous le sens;Khorasan scheint nahe zu liegen;;Joras醤 parece natural;;;;;;;;;x
EVTOPTC60201;大益斯坦人富而兵弱;D閔istan, ses richesses, sa vuln閞abilit?..;Dihistan ist reich und schwach!;;Dihist醤 es rico y d閎il;;;;;;;;;x
EVTOPTD60201;首先是撒马尔罕!;Samarcande avant tout?;zuerst Samarkand!;;amarkanda primero!;;;;;;;;;x
EVTOPTE60201;巴尔赫......好地方.;Ce sera Balkh...;Balkh - oh ja!;;Balj... s?;;;;;;;;;x
EVTDESC60205;[From.GetBestName], 可能是我手下最出色的战士, 他已经召集部众, 发兵攻打[FromFrom.Holder.TopLiege.GetBestName], 以夺取[FromFrom.Duchy.GetFullBaseName]!;[From.GetBestName], probablement le meilleur guerrier de mon royaume, s'est adress??sa tribu et ?de nombreuses d'autres avides de guerre, leur d閏larant son intention de capturer le territoire de [FromFrom.Duchy.GetFullBaseName] pour son usage personnel?;[From.GetBestName], der vielleicht beste Krieger meines Reiches, hat seinen Stamm zusammengerufen und seine Absicht verk黱det, [FromFrom.Duchy.GetFullBaseName] aus der Hand von  [FromFrom.Holder.TopLiege.GetBestName] zu entrei遝n.;;From.GetBestName], puede que el guerrero m醩 h醔il del reino, ha llamado a su tribu y a otras deseosas de guerra, declarando su intenci髇 de tomar el [FromFrom.Duchy.GetFullBaseName] de [FromFrom.Holder.TopLiege.GetBestName]!;;;;;;;;;x
EVTOPTA60205;人人都会想他的......祝他好运!;Bonne chance ?lui? Il me manquera.;Er wird vermisst werden, aber ich w黱sche ihm Gl點k!;;er?a駉rado, pero le deseo suerte!;;;;;;;;;x
EVTDESC60204;我乞尼黑部支持我出兵[From.Duchy.GetFullBaseName]. 颤抖吧, [From.Holder.TopLiege.GetTitledFirstName]!;Ma tribu, les guerriers kinik, me soutiennent dans mes projets de conqu閞ir [From.Duchy.GetFullBaseName]. Que [From.Holder.TopLiege.GetTitledFirstName] tremble de peur?;Mein Stamm, die k鋗pfenden Kinik, stehen voll hinter mir, w鋒rend ich aufbreche, um [From.Duchy.GetFullBaseName] zu erobern. Lasst [From.Holder.TopLiege.GetTitledFirstName] vor Angst zittern!;;Mi tribu, los luchadores Kinik, me siguen mientras marcho a conquistar [From.Duchy.GetFullBaseName]. ue [From.Holder.TopLiege.GetTitledFirstName] se eche a temblar!;;;;;;;;;x
EVTOPTA60204;鞍好我的马!;Sellez mon cheval?;Sattelt mein Pferd!;;nsillad mi caballo!;;;;;;;;;x
EVTNAME60206;伟哉塞尔柱;Le grand Seljuk;Der Gro遝 Seljuke;;El Gran Seljuk;;;;;;;;;x
EVTDESC60206;中亚草原上, 乌古斯突厥乞尼黑部的伟大战士塞尔柱, 在征服强大的[FromFrom.GetTitledName]中展现无比才华. 众部落以他马首是瞻, 出身各地的勇士投入他麾下. 塞尔柱汗许诺, 凡有功者, 征战过后, 都能分得财宝!;Dans les steppes d'Asie centrale, un grand guerrier est apparu ?la t阾e de la tribu des Kinik, une tribu de turcs oghouzes. Il a fait preuve de son talent en remportant une guerre contre le puissant [FromFrom.GetTitledName]. Voyant cela, d'autres tribus de guerriers se sont rassembl閑s en grand nombre sous sa banni鑢e. Seljuk Khan leur a promis des pillages et la fortune lors de ses conqu阾es?;Aus den Steppen Zentralasiens kam ein gro遝r Krieger als F黨rer des Kinikstammes der Oghuz T黵ken und zeigte seine Brillanz, als er den Krieg gegen den m鋍htigen [FromFrom.GetTitledName] gewann. Andere St鋗me zeigten ihre Achtung und Krieger aller Farben sammeln sich unter seinem Banner. Seljuk Khan hat ihnen Reichtum und Pl黱derei in seinen zuk黱ftigen Feldz黦en versprochen!;;En las estepas de Asia central, un gran guerrero emergi?como el l韉er de la tribu Kinik de los Turcos Oguz, demostrando su brillantez al ganar la guerra contra el poderoso [FromFrom.GetTitledName]. Otras tribus se han enterado y columnas enteras marchan a unirse a su bandera. eljuk Khan les ha prometido una fortuna en saqueos en sus futuras conquistas!;;;;;;;;;x
EVTOPTA60206;这仅仅只是个序幕!;Ce n'est que le d閎ut?;Das ist erst der Anfang!;;s s髄o el comienzo!;;;;;;;;;x
EVTOPTB60206;他是突厥人的希望!;Il fait honneur de tous les Turcs?;Er gereicht den T黵ken zur Ehre!;;ace honor a todos los Turcos!;;;;;;;;;x
EVTOPTC60206;突厥诸汗不过都是过眼云烟......;Les khans turcs, ils vont, ils viennent...;T黵kische Khane kommen und gehen?;Los Khan turcos vienen y van...;;;;;;;;;x
EVTDESC60207;家乡来的突厥战士不断涌至, 希望能侍奉塞尔柱汗的继承人. 有如此壮士虎将, 我是天下无敌!;Les guerriers turcs continuent ?affluer en grand nombre depuis nos terres dans l'espoir de servir dans les arm閑s du successeur du grand Seljuk. Avec de tels hommes, je peux tout faire?;T黵kische Krieger aus der Heimat kommen in gro遝n Zahlen an, in der Hoffnung, den Armeen der Nachfolger des gro遝n Seljuken zu dienen. Mit M鋘nern wie diesen kann ich alles erreichen!;;Guerreros turcos de la patria siguen llegando en gran n鷐ero, esperando servir en los ej閞citos del gran sucesor de Seljuk. Con hombres como esos, uedo lograr cualquier cosa!;;;;;;;;;x
EVTOPTA60207;塞尔柱会为其子孙自豪的!;Seljuk serait fier de son h閞itier?;Seljuk w鋜e stolz auf seinen Erben!;;eljuk estar韆 orgulloso de su heredero!;;;;;;;;;x
EVTDESC60307;自大草原而来的骑手不断涌至, 希望能侍奉帖木儿汗的继承人. 有如此壮士虎将, 我是天下无敌!;Les cavaliers des grandes steppes continuent ?affluer en grand nombre dans l'espoir de servir dans les arm閑s du successeur de Timour le Grand. Avec de tels guerriers, je peux tout faire?;Reiter aus den Steppen kommen in gro遝n Zahlen an, in der Hoffnung, den Armeen der Nachfolger des gro遝n Seljuken zu dienen. Mit M鋘nern wie diesen kann ich alles erreichen!;;Jinetes de las grandes estepas llegan en gran n鷐ero, esperando servir en los ej閞citos del sucesor de Timur Khan. Con guerreros como esos, uedo lograr cualquier cosa!;;;;;;;;;x
EVTOPTA60307;铁汗会为此自豪!;Le Khan de fer serait fier de moi?;Der Eiserne Khan w鋜e stolz!;;l Khan de hierro estar韆 orgulloso!;;;;;;;;;x
EVTDESC60300;帖木儿是一位杰出的骑手, 最近此人声名大噪. 我的将领都同意我应该要给这个年轻人证明自己领导才能的机会, 即使他是瘸腿的.;Un brillant cavalier et pillard audacieux du nom de Timour le Grand s'est d閖?fait remarquer plusieurs fois. Mes g閚閞aux sont tous d'accord: je dois donner ?ce remarquable jeune homme une chance de prouver sa valeur en tant que chef, qu'il soit boiteux ou pas.;Ein genialer Reiter und wagemutiger R鋟ber namens Timur hat sich schon mehrere Male ausgezeichnet. Meine Kommandanten sind sich einig, dass ich diesem bemerkenswerten Mann eine Chance geben sollte, sich als F黨rer zu beweisen - Klumpfu?hin oder her.;;Un brillante jinete y osado asaltante llamado Timur ha destacado varias veces. Mis comandantes coinciden en que tan notable joven merece una oportunidad para mostrar su val韆 como l韉er aunque sea patizambo.;;;;;;;;;x
EVTOPTA60300;潜在的对手?;Un rival potentiel?;Ein m鰃licher Rivale?;;縐n posible rival?;;;;;;;;;x
EVTOPTA60305;只要他效忠于我, 怎样都好!;Tant qu'il ne se retourne pas contre moi...;So lange er sich nicht gegen mich wendet!;;ientras no se vuelva contra m?;;;;;;;;;x
EVTDESC60304;在为我主而战时, 我有了一批忠于自己的部下, 他们全都是英勇的骑手. 与其起兵对抗旧主, 倒不如出征, [From.Duchy.GetFullBaseName]. [From.Holder.TopLiege.GetTitledFirstName], 我来了!;En combattant pour mon seigneur, j'ai rassembl?une importante arm閑 qui m'est loyale. Ce sont tous de brave cavaliers. Plut魌 que de me retourner contre mon ancien seigneur, j'ai d閏id?d'attaquer [From.Duchy.GetFullBaseName]. Que [From.Holder.TopLiege.GetTitledFirstName] tremble de peur?;Im Kampf f黵 meinen Lehnsherren habe ich eine gro遝 und loyale Gefolgschaft gesammelt, tapfere Reiter allesamt. Statt mich gegen meinen Herrn zu erheben, habe ich entschieden, in [From.Duchy.GetFullBaseName] zu zuschlagen. Lasst [From.Holder.TopLiege.GetTitledFirstName] vor Angst erzittern!;;Mientras luchaba por mi se駉r he obtenido muchos leales seguidores, todos bravos jinetes. En vez de alzarme contra mi se駉r, he decidido atacar [From.Duchy.GetFullBaseName]. ue [From.Holder.TopLiege.GetTitledFirstName] se eche a temblar!;;;;;;;;;x
EVTNAME60306;铁汗;Le Khan de fer;Der Eiserne Khan;;El Khan de Hierro;;;;;;;;;x
EVTDESC60306;又一位汗在中亚崛起了, 瘸子帖木儿在当地的突厥化的蒙古部落间湛露头角. 他正要建立足以与成吉思汗匹敌的功业, 不久前他就攻克了 [FromFrom.GetTitledName]. 数以万计熟练的骑手聚集在他麾下!;Un autre grand khan a fait son apparition en Asie centrale. Timour le Grand, dit 珷le Boiteux牷 en raison de son pied bot, a prouv?sa valeur face aux tribus turco-mongoles de la r間ion. Il semble vouloir cr閑r un empire destin??rivaliser avec celui du l間endaire Genghis Khan en personne. Il vient d'閏raser [FromFrom.GetTitledName] au terme d'une guerre sans piti? Des dizaines de milliers de cavaliers talentueux se sont rassembl閟 sous sa banni鑢e?;Ein weiterer Khan erhebt sich in Zentralasien. Timur, genannt 'Der Lahme' aufgrund seines Klumpfu遝s, hat sich den t黵kisch-mongolischen St鋗men der Region bewiesen. Er scheint ein Imperium, w黵dig dem gro遝n Ghengis Khan, erbauen zu wollen, und hat eben in einem brutalen Krieg [FromFrom.GetTitledName] zerschmettert. Zehntausende Reiter haben sich unter seinem Banner versammelt.;;Otro gran Khan se alza en Asia Central. Timur, llamado 'el cojo' por ser zambo, ha mostrado su val韆 a las tribus Turco-Mongolas de la regi髇. Parece querer crear un imperio que rivalice contra el del mism韘imo Genghis Khan, una vez que ha derrotado a [FromFrom.GetTitledName] en una batalla brutal. ecenas de miles de habilidosos jinetes se han agrupado bajo su bandera!;;;;;;;;;x
EVTOPTA60306;我是再世铁木真!;Je suis la r閕ncarnation de Tem黡jin?;Ich bin der wiedergeborene Temujin!;;oy Temujin renacido!;;;;;;;;;x
EVTOPTB60306;他是蒙古人的希望!;Il est l'honneur de tous les Mongols?;Er ist eine Ehre aller Mongolen!;;ace honor a todos los Mongoles!;;;;;;;;;x
EVTOPTC60306;这些马上雄主可真难对付!;Ces seigneurs ?cheval, impossible de s'en d閎arrasser?;Diese Pferdeherren sind so aufdringlich!;;stos se駉res de los caballos son persistentes!;;;;;;;;;x
IS_NOT_WITHIN_DIPLO_RANGE;不在外交范围内;N'est pas ?port閑 des diplomates;Ist NICHT in diplomatischer Reichweite;;NO est?en el rango diplom醫ico;;;;;;;;;x
IS_WITHIN_DIPLO_RANGE;在外交范围内;Est ?port閑 des diplomates;Ist in diplomatischer Reichweite;;Est?en el rango diplom醫ico;;;;;;;;;x
manifest_destiny_invasion_desc;我的宣称允许我入侵 $TARGET$?. 如果成功，任何 $TARGET$?控制的 $TITLE$? 将会被夺走或成为附庸。;Ma destin閑 manifeste me donne le droit d'envahir $TARGET$?. En cas de r閡ssite, tout territoire contr鬺?par $TARGET$? au sein du/de la $TITLE$? sera captur?ou vassalis?;Mein manifestiertes Schicksal erlaubt mir, $TARGET$? zu erobern. Bei Erfolg, wird alles, was $TARGET$? in $TITLE$? kontrolliert, 黚ernommen oder zum Vasallen. ;;Mi destino manifiesto me permite invadir $TARGET$?. De tener 閤ito, todo lo que $TARGET$? controla en los $TITLE$? Ser?tomado o avasallado.;;;;;;;;;x
emperor_dravidian_group;圣王;Samrat;Samrat;;Samrat;;;;;;;;;x
emperor_female_dravidian_group;圣后;Samrajni;Samrajni;;Samrajn?;;;;;;;;x
king_dravidian_group;摩诃罗阇;Maharaja;Maharadscha;;Maharaja;;;;;;;;;x
king_female_dravidian_group;摩诃罗妮;Maharani;Maharani;;Maharan?;;;;;;;;x
duke_dravidian_group;罗阇;Raja;Radscha;;Raj?;;;;;;;;x
duke_female_dravidian_group;罗妮;Rani;Rani;;Ran?;;;;;;;;x
count_dravidian_group;多俱罗;Thakur;Thakur;;Thakur;;;;;;;;;x
count_female_dravidian_group;多俱罗尼;Thakurani;Thakurani;;Thakuran?;;;;;;;;x
baron_dravidian_group;庄主;Damapati;Damapati;;Damapati;;;;;;;;;x
baron_female_dravidian_group;女庄主;Damapatni;Damapatni;;Damapatn?;;;;;;;;x
title_prince_c_indian;罗阇俱摩罗;Rajkumar;Radschkumar;;Rajkumar;;;;;;;;;x
title_prince_female_c_indian;罗阇俱摩利;Rajkumari;Radschkumari;;Rajkumar?;;;;;;;;x
duchy_dravidian_group;罗耆;Raj;Radsch;;Raj;;;;;;;;;x
county_dravidian_group;提迦那;Thikana;Thikana;;Thikana;;;;;;;;;x
barony_dravidian_group;庄园;Dama;Dama;;Dama;;;;;;;;;x
duchy_of_dravidian_group;罗耆;Raj de;Radsch von;;Raj de;;;;;;;;;x
county_of_dravidian_group;提迦那;Thikana de;Thikana von;;Thikana de;;;;;;;;;x
barony_of_dravidian_group;庄园;Dama de;Dama von;;Dama de;;;;;;;;;x
emperor_indo_aryan_group;圣王;Samrat;Samrat;;Samrat;;;;;;;;;x
emperor_female_indo_aryan_group;圣后;Samrajni;Samrajni;;Samrajn?;;;;;;;;x
king_indo_aryan_group;摩诃罗阇;Maharaja;Maharadscha;;Maharaja;;;;;;;;;x
king_female_indo_aryan_group;摩诃罗妮;Maharani;Maharani;;Maharan?;;;;;;;;x
duke_indo_aryan_group;罗阇;Raja;Radscha;;Raj?;;;;;;;;x
duke_female_indo_aryan_group;罗妮;Rani;Rani;;Ran?;;;;;;;;x
count_indo_aryan_group;多俱罗;Thakur;Thakur;;Thakur;;;;;;;;;x
count_female_indo_aryan_group;多俱罗尼;Thakurani;Thakurani;;Thakuran?;;;;;;;;x
baron_indo_aryan_group;庄主;Damapati;Damapati;;Damapati;;;;;;;;;x
baron_female_indo_aryan_group;女庄主;Damapatni;Damapatni;;Damapatn?;;;;;;;;x
title_prince_indo_aryan_group;罗阇俱摩罗;Rajkumar;Radschkumar;;Rajkumar;;;;;;;;;x
title_prince_female_indo_aryan_group;罗阇俱摩利;Rajkumari;Radschkumari;;Rajkumar?;;;;;;;;x
duchy_indo_aryan_group;罗耆;Raj;Radsch;;Raj;;;;;;;;;x
county_indo_aryan_group;提迦那;Thikana;Thikana;;Thikana;;;;;;;;;x
barony_indo_aryan_group;庄园;Dama;Dama;;Dama;;;;;;;;;x
duchy_of_indo_aryan_group;罗耆;Raj de;Radsch von;;Raj de;;;;;;;;;x
county_of_indo_aryan_group;提迦那;Thikana de;Thikana von;;Thikana de;;;;;;;;;x
barony_of_indo_aryan_group;庄园;Dama de;Dama von;;Dama de;;;;;;;;;x
temple_kingdom_of_hindu;神庙;Temple de;Tempel von;;Templo de;;;;;;;;;x
temple_kingdom_of_buddhist;精舍;Monast鑢e de;Kloster von;;Monasterio de;;;;;;;;;x
temple_kingdom_of_jain;精舍;Monast鑢e de;Kloster von;;Monasterio de;;;;;;;;;x
temple_duchy_of_hindu;神庙;Temple de;Tempel von;;Templo de;;;;;;;;;x
temple_duchy_of_buddhist;精舍;Monast鑢e de;Kloster von;;Monasterio de;;;;;;;;;x
temple_duchy_of_jain;精舍;Monast鑢e de;Kloster von;;Monasterio de;;;;;;;;;x
temple_county_of_hindu;神庙;Temple de;Tempel von;;Templo de;;;;;;;;;x
temple_county_of_buddhist;精舍;Monast鑢e de;Kloster von;;Monasterio de;;;;;;;;;x
temple_county_of_jain;寺院;Monast鑢e de;Kloster von;;Monasterio de;;;;;;;;;x
;#temple_barony_of_hindu;Temple of;;Tempel von;;Templo de;;;;;;;;;x;
;#temple_barony_of_buddhist;Monastery of;;Kloster von;;Monasterio de;;;;;;;;;x;
;#temple_barony_of_jain;Monastery of;;Kloster von;;Monasterio de;;;;;;;;;x;
temple_county_of_indian_group;神权领;Th閛cratie de;Theokratie von;;Teocracia de;;;;;;;;;x
temple_duchy_of_indian_group;神权领;Th閛cratie de;Theokratie von;;Teocracia de;;;;;;;;;x
temple_kingdom_of_indian_group;神权领;Th閛cratie de;Theokratie von;;Teocracia de;;;;;;;;;x
temple_baron_hindu;福阇利;Pujari;Pujari;;Pujari;;;;;;;;;x
temple_baron_buddhist;比丘;Bhikkhu;Bhikkhu;;Bhikkhu;;;;;;;;;x
temple_baron_jain;尼犍子;Nirgrantha;Nirgrantha;;Nirgrantha;;;;;;;;;x
temple_count_hindu;福阇利;Pujari;Pujari;;Pujari;;;;;;;;;x
temple_count_buddhist;比丘;Bhikkhu;Bhikkhu;;Bhikkhu;;;;;;;;;x
temple_count_jain;尼犍子;Nirgrantha;Nirgrantha;;Nirgrantha;;;;;;;;;x
temple_duke_hindu;福阇利;Pujari;Pujari;;Pujari;;;;;;;;;x
temple_duke_buddhist;比丘;Bhikkhu;Bhikkhu;;Bhikkhu;;;;;;;;;x
temple_duke_jain;尼犍子;Nirgrantha;Nirgrantha;;Nirgrantha;;;;;;;;;x
temple_king_hindu;福阇利;Pujari;Pujari;;Pujari;;;;;;;;;x
temple_king_buddhist;比丘;Bhikkhu;Bhikkhu;;Bhikkhu;;;;;;;;;x
temple_king_jain;尼犍子;Nirgrantha;Nirgrantha;;Nirgrantha;;;;;;;;;x
SM_WINDOWMODE;视窗模式;Mode fen阾r?Fenstermodus;;Modo Ventana;;;;;;;;;x
FULLSCREEN;全屏模式;Plein 閏ran;Vollbild;;Pantalla Completa;;;;;;;;;x
BORDERLESS_WINDOW;无框模式;Fen阾r?sans bordures;Rahmenlos;;Sin Borde;;;;;;;;;x
WINDOWED;视窗模式;Fen阾r?Im Fenster;;Ventana;;;;;;;;;x
married_monkey;这个角色跟一只猴子结了婚...;Ce personnage a 閜ous?un singe...;Dieser Charakter hat eine Affen geheiratet?;Este personaje se ha casado con un mono...;;;;;;;;;x
;#desc_good_times;This character had a great time!;Ce personnage s'est bien amusé?!;Dieser Charakter hatte eine gro?artige Zeit!;;?Este personaje se lo pasó genial!;;;;;;;;;x;
good_hunt;一次成功的狩猎;Une chasse fructueuse;Eine erfolgreiche Jagd;;Una cacer韆 fruct韋era;;;;;;;;;x
HAS_LOWER_PIETY_THAN;[Player.Religion.GetPietyName]低于;A un niveau de [Player.Religion.GetPietyName] inf閞ieur ?;Hat weniger [Player.Religion.GetPietyName] als;;Tiene una [Player.Religion.GetPietyName] inferior a ;;;;;;;;;x
HAS_HIGHER_PIETY_THAN;[Player.Religion.GetPietyName]至少;A un niveau de [Player.Religion.GetPietyName] d'au moins ;[Player.Religion.GetPietyName] von mindestens:;;Tiene una [Player.Religion.GetPietyName] m韓ima de ;;;;;;;;;x
